HPI rank,Country,ISO,,Continent,Population (thousands),Life Expectancy (years),Ladder of life (Wellbeing) (0-10),Ecological Footprint (g ha),HPI,"Biocapacity for year 
(g ha)",GDP per capita ($)
94,Afghanistan,AFG,2015AFG,6,34413.603,63.4,3.982854605,0.705662883,40.10080812,1.61,2068.265904
83,Afghanistan,AFG,2016AFG,6,35383.028,63.8,4.220168591,0.701342232,42.04274923,1.6,2057.062164
143,Afghanistan,AFG,2017AFG,6,36296.111,64.1,2.66171813,0.664047068,31.46323232,1.6,2058.383832
140,Afghanistan,AFG,2018AFG,6,37171.922,64.5,2.694303274,0.726988649,31.54055353,1.57,2033.779002
146,Afghanistan,AFG,2019AFG,6,38041.8,64.8,2.38,0.73,29.4,1.56,2065
,Afghanistan,AFG,2020AFG,6,38928.3,64.9,,,,1.55,..
48,Albania,ALB,2015ALB,7,2890.524,78,4.606650829,2.041462861,47.57418049,1.61,11916.42231
50,Albania,ALB,2016ALB,7,2886.427,78.2,4.511100769,1.958895085,47.42776412,1.6,12331.12775
48,Albania,ALB,2017ALB,7,2884.169,78.3,4.639548302,2.049188713,47.91756054,1.6,12811.75944
32,Albania,ALB,2018ALB,7,2882.735,78.5,5.004402637,1.997753708,50.82174031,1.57,13366.30306
36,Albania,ALB,2019ALB,7,2880.9,78.6,5.00,1.95,51.0,1.56,13724
15,Albania,ALB,2020ALB,7,2877.8,78.1,5.36,1.79,54.3,1.55,..
19,Algeria,DZA,2015DZA,4,39728.02,76.1,5.847876072,2.516409986,52.05948199,1.61,11696.96376
37,Algeria,DZA,2016DZA,4,40551.398,76.3,5.340853691,2.35779786,49.64701731,1.6,11826.16467
36,Algeria,DZA,2017DZA,4,41389.174,76.5,5.248912334,2.301701722,49.48500728,1.6,11737.40935
50,Algeria,DZA,2018DZA,4,42228.415,76.7,5.043086052,2.274678361,48.18461881,1.57,11642.19449
62,Algeria,DZA,2019DZA,4,43053.1,76.9,4.74,2.22,46.5,1.56,11511
,Algeria,DZA,2020DZA,4,43851.0,76.9,,2.04,,1.55,..
21,Argentina,ARG,2015ARG,1,43075.416,76.1,6.69713068,3.603949653,51.43833804,1.61,23933.88661
24,Argentina,ARG,2016ARG,1,43508.459,76.2,6.427221298,3.191666261,51.99075157,1.6,23189.52745
39,Argentina,ARG,2017ARG,1,43937.143,76.4,6.039330006,3.304015065,49.15572513,1.6,23597.11775
53,Argentina,ARG,2018ARG,1,44361.15,76.5,5.792796612,3.258791452,47.75514195,1.57,22759.39856
43,Argentina,ARG,2019ARG,1,44780.7,76.7,6.09,3.19,50.0,1.56,22064
41,Argentina,ARG,2020ARG,1,45195.8,75.2,5.90,3.05,48.4,1.55,..
72,Armenia,ARM,2015ARM,7,2925.559,74.5,4.34831953,1.937085317,43.89880496,1.61,11321.35576
72,Armenia,ARM,2016ARM,7,2936.147,74.6,4.325471878,1.864460043,44.13751633,1.6,11303.0717
73,Armenia,ARM,2017ARM,7,2944.789,74.8,4.287736416,1.79751554,44.36779447,1.6,12115.05701
36,Armenia,ARM,2018ARM,7,2951.741,74.9,5.062448502,1.701442904,50.36376199,1.57,12714.95819
20,Armenia,ARM,2019ARM,7,2957.7,75.1,5.49,1.52,54.7,1.56,13654
,Armenia,ARM,2020ARM,7,2963.2,74.0,,,,1.55,..
49,Australia,AUS,2015AUS,2,23932.499,82.8,7.309060574,6.304403015,47.56684669,1.61,47784.17848
52,Australia,AUS,2016AUS,2,24262.71,83,7.250080109,6.42539913,46.88539264,1.6,48347.03166
75,Australia,AUS,2017AUS,2,24584.619,83.1,7.25703764,7.272647577,44.06809061,1.6,48633.13322
83,Australia,AUS,2018AUS,2,24898.153,83.3,7.17699337,7.386751688,43.27778032,1.57,49304.25111
88,Australia,AUS,2019AUS,2,25203.2,83.4,7.23,7.53,43.1,1.56,49609
60,Australia,AUS,2020AUS,2,25499.9,83.4,7.14,6.95,44.5,1.55,..
52,Austria,AUT,2015AUT,3,8678.667,81.2,7.07644701,5.864231182,47.03133872,1.61,52966.70248
51,Austria,AUT,2016AUT,3,8747.306,81.3,7.048071861,5.851399947,46.93854373,1.6,53439.41395
52,Austria,AUT,2017AUT,3,8819.902,81.3,7.293727875,6.02481835,47.53631933,1.6,54342.94786
51,Austria,AUT,2018AUT,3,8891.383,81.4,7.396001816,5.996407697,48.05222106,1.57,55474.20315
59,Austria,AUT,2019AUT,3,8955.1,81.5,7.20,6.05,46.8,1.56,56012
34,Austria,AUT,2020AUT,3,9006.4,80.8,7.21,5.23,49.7,1.55,..
53,Azerbaijan,AZE,2015AZE,7,9622.741,72.3,5.146774769,2.167163086,46.52453921,1.61,14853.91055
41,Azerbaijan,AZE,2016AZE,7,9736.041,72.5,5.303894997,1.957670423,48.84719645,1.6,14238.78414
49,Azerbaijan,AZE,2017AZE,7,9845.316,72.7,5.152279377,1.97349664,47.88077778,1.6,14121.40694
52,Azerbaijan,AZE,2018AZE,7,9949.537,72.9,5.167995453,1.964655733,48.00791652,1.57,14209.64941
50,Azerbaijan,AZE,2019AZE,7,10047.7,73.0,5.17,1.97,48.0,1.56,14402
,Azerbaijan,AZE,2020AZE,7,10139.2,72.6,,1.88,,1.55,..
111,Bahrain,BHR,2015BHR,4,1371.853,76.8,6.00737524,6.687148581,36.54810202,1.61,48110.80433
131,Bahrain,BHR,2016BHR,4,1425.793,76.9,6.169673443,8.737183945,32.24323174,1.6,47937.77631
135,Bahrain,BHR,2017BHR,4,1494.077,77,6.227320671,8.655573463,32.69513916,1.6,47709.87381
136,Bahrain,BHR,2018BHR,4,1569.44,77.2,6.662666559,9.065320543,33.48858453,1.57,46227.02712
139,Bahrain,BHR,2019BHR,4,1641.2,77.3,7.10,9.80,33.6,1.56,45011
87,Bahrain,BHR,2020BHR,4,1701.6,76.5,6.17,8.21,33.0,1.55,..
29,Bangladesh,BGD,2015BGD,6,156256.287,71.5,4.633473873,0.856500731,50.29627986,1.61,3700.111081
35,Bangladesh,BGD,2016BGD,6,157977.151,71.8,4.5561409,0.811499079,50.19169361,1.6,3920.301119
44,Bangladesh,BGD,2017BGD,6,159685.421,72.1,4.309771061,0.831657377,48.37629207,1.6,4161.089713
40,Bangladesh,BGD,2018BGD,6,161376.713,72.3,4.499217033,0.84443963,49.73475272,1.57,4441.424462
22,Bangladesh,BGD,2019BGD,6,163046.2,72.6,5.11,0.88,54.5,1.56,4754
8,Bangladesh,BGD,2020BGD,6,164689.4,72.8,5.28,0.85,56.0,1.55,..
84,Belarus,BLR,2015BLR,7,9439.424,73.7,5.718907833,4.003956383,42.31306114,1.61,18307.51967
96,Belarus,BLR,2016BLR,7,9445.638,74,5.177899361,3.92232532,39.76507471,1.6,17822.60659
96,Belarus,BLR,2017BLR,7,9450.233,74.3,5.552915096,4.204488934,40.93394697,1.6,18280.19892
109,Belarus,BLR,2018BLR,7,9452.615,74.6,5.233769894,4.165250433,39.36753199,1.57,18885.2355
89,Belarus,BLR,2019BLR,7,9452.4,74.8,5.82,4.11,42.9,1.56,19249
,Belarus,BLR,2020BLR,7,9449.3,74.8,,3.88,,1.55,..
65,Belgium,BEL,2015BEL,3,11287.931,81,6.904219151,6.245225383,44.62783153,1.61,49613.3651
65,Belgium,BEL,2016BEL,3,11354.407,81.1,6.948936462,6.235419323,44.89112374,1.6,49988.07943
79,Belgium,BEL,2017BEL,3,11419.752,81.3,6.928347588,6.603176082,43.63812748,1.6,50596.6428
84,Belgium,BEL,2018BEL,3,11482.18,81.5,6.89217186,6.648064355,43.2661911,1.57,51279.65454
92,Belgium,BEL,2019BEL,3,11539.3,81.6,6.77,6.69,42.5,1.56,51831
40,Belgium,BEL,2020BEL,3,11589.6,80.4,6.84,4.95,48.6,1.55,..
130,Benin,BEN,2015BEN,5,10575.962,60.6,3.624664307,1.329072738,32.71230513,1.61,2945.973006
123,Benin,BEN,2016BEN,5,10872.072,60.9,4.007357597,1.463542632,34.61954904,1.6,2961.441778
100,Benin,BEN,2017BEN,5,11175.192,61.2,4.853180885,1.413485095,40.21962056,1.6,3044.513887
63,Benin,BEN,2018BEN,5,11485.035,61.5,5.81982708,1.405258268,46.26491601,1.57,3160.777093
99,Benin,BEN,2019BEN,5,11801.2,61.8,4.98,1.39,41.4,1.56,3287
81,Benin,BEN,2020BEN,5,12123.2,62.1,4.41,1.33,38.3,1.55,..
118,Bhutan,BTN,2015BTN,6,727.885,70.4,5.082128525,4.476071522,35.20787353,1.61,10086.19751
,Bhutan,BTN,2016BTN,6,736.706,70.8,,4.520954232,,1.6,10775.14643
,Bhutan,BTN,2017BTN,6,745.563,71.1,,4.372488641,,1.6,11142.39995
,Bhutan,BTN,2018BTN,6,754.396,71.5,,4.505679324,,1.57,11348.47204
127,Bhutan,BTN,2019BTN,6,763.1,71.8,5.20,4.39,36.7,1.56,11832
,Bhutan,BTN,2020BTN,6,771.6,,,,,1.55,..
66,Bolivia,BOL,2015BOL,1,10869.732,70.3,5.834329128,3.124304343,44.48356829,1.61,7984.413455
70,Bolivia,BOL,2016BOL,1,11031.822,70.6,5.769723415,3.127037545,44.25669116,1.6,8202.550925
76,Bolivia,BOL,2017BOL,1,11192.853,70.9,5.65055275,3.084220334,43.97615561,1.6,8423.696806
69,Bolivia,BOL,2018BOL,1,11353.14,71.2,5.915734291,3.023832411,45.86141216,1.57,8655.52996
75,Bolivia,BOL,2019BOL,1,11513.1,71.5,5.67,2.94,45.0,1.56,8724
